City,Temperature_C,Population_Density,Green_Cover_%,Industrial_Activity_Level,Vehicular_Emissions_Index,Humidity_%,Land_Surface_Temperature_C,Nighttime_Temperature_C,UHI_Effect_Severity
Delhi,34.54,20818,15.66,Low,53.84,46.51,37.16,32.39,Medium
Delhi,33.8,24175,6.25,Medium,223.67,83.04,37.69,31.87,Medium
Bangalore,40.58,8332,37.75,Medium,107.76,73.24,46.6,38.52,High
Bangalore,35.93,22087,25.51,Low,264.54,75.54,39.15,32.52,Medium
Mumbai,31.34,27218,15.44,High,166.59,86.77,38.67,28.54,Low
Pune,44.45,7820,10.22,Medium,182.66,87.12,48.18,40.53,High
Chennai,35.25,20472,34.03,High,238.48,67.58,39.23,31.75,Medium
Delhi,38.84,29437,34.28,High,244.86,64.77,42.15,36.39,High
Mumbai,31.96,9959,33.51,Medium,210.66,56.77,35.48,30.23,Low
Mumbai,36.82,22443,27.58,Medium,284.61,75.78,39.26,33.79,Medium
Delhi,36.56,17366,17.81,Medium,295.57,66.91,40.32,33.38,Medium
Chennai,25.55,6301,15.64,Medium,286.72,86.64,32.71,23.16,Low
Mumbai,45.08,15551,5.3,High,256.04,51.93,51.21,43.39,High
Mumbai,41.45,29080,34.18,Medium,226.41,55.51,48.7,38.78,High
Pune,33.01,25683,8.06,Low,215.83,55.8,35.64,31.25,Medium
Chennai,29.49,27455,27.08,Medium,75.94,80.3,34.22,25.67,Low
Mumbai,36.74,9112,22.64,High,117.87,44.95,40.11,33.85,Medium
Chennai,35.43,29265,23.43,Medium,51.42,62.78,41.76,33.56,Medium
Delhi,36.78,17763,37.43,Medium,84.35,61.38,44.6,35.13,Medium
Bangalore,35.96,16774,6.11,Medium,159.81,43.66,42.85,32.81,Medium
Mumbai,37.53,29785,32.07,Medium,86.63,60.54,39.74,34.41,Medium
Pune,42.24,21882,6.82,Medium,275.42,65.67,46.14,39.45,High
Delhi,37.84,13620,6.34,Medium,251.42,43.26,40.01,35.0,Medium
Chennai,29.75,12245,20.04,Medium,67.9,65.49,31.99,26.94,Low
Delhi,41.81,16831,7.21,Medium,112.23,87.96,44.29,39.73,High
Mumbai,43.2,7105,32.62,Medium,254.77,88.95,46.86,39.39,High
Chennai,50.76,14745,23.53,Medium,250.76,66.58,54.59,48.32,High
Bangalore,29.38,26711,6.02,Low,286.36,65.75,33.79,28.32,Low
Delhi,36.21,10630,6.42,Low,299.39,54.28,40.64,34.17,Medium
Mumbai,24.59,8206,26.44,Low,294.07,89.86,31.22,23.2,Low
Pune,37.77,28521,33.21,Medium,152.53,53.71,40.61,35.68,Medium
Chennai,32.26,23953,20.32,Medium,112.58,62.65,35.21,29.43,Low
Delhi,44.62,7628,24.41,Medium,239.6,40.15,50.38,43.55,High
Delhi,31.13,15068,32.99,Low,124.82,57.46,36.56,27.52,Low
Bangalore,26.55,18394,26.37,Medium,251.6,43.57,29.48,23.72,Low
Bangalore,32.64,28148,12.87,Medium,183.49,77.19,39.76,30.76,Low
Pune,25.12,6067,26.46,Medium,248.48,68.05,29.1,23.19,Low
Pune,38.76,22890,26.99,Medium,118.97,68.61,42.96,36.36,High
Mumbai,24.67,24397,30.69,Low,177.01,54.33,29.2,22.93,Low
Mumbai,35.14,20245,26.73,High,191.01,80.74,39.08,34.13,Medium
Pune,24.61,14859,38.92,Low,285.78,40.16,29.96,23.53,Low
Pune,33.4,11642,11.91,Medium,116.65,56.68,37.73,31.33,Medium
Chennai,43.22,20377,38.29,High,284.17,72.97,46.77,41.84,High
Bangalore,36.8,9066,23.84,Medium,251.21,85.4,44.23,35.74,Medium
Mumbai,30.68,5947,28.52,High,232.72,51.73,34.53,27.1,Low
Bangalore,34.84,25773,8.48,Low,246.72,67.06,41.03,33.02,Medium
Bangalore,35.09,29527,18.32,Medium,201.36,66.9,39.17,32.58,Medium
Pune,37.36,6171,31.93,Medium,111.02,83.71,41.97,35.82,Medium
Chennai,28.17,20831,29.74,Low,97.37,42.53,31.58,27.03,Low
Delhi,37.96,11114,6.4,Medium,266.59,61.22,44.48,34.73,Medium
Chennai,21.48,5171,24.13,Medium,231.28,49.12,27.9,20.1,Low
Chennai,31.85,27066,8.09,Medium,103.3,41.08,33.98,30.77,Low
Bangalore,32.56,17818,39.85,High,203.77,47.35,34.92,29.8,Low
Chennai,38.17,14335,36.41,Low,161.89,88.82,45.7,37.13,High
Mumbai,35.11,15051,5.74,Medium,89.66,50.74,42.45,32.8,Medium
Bangalore,27.97,27240,35.05,Medium,182.96,86.75,33.01,26.11,Low
Mumbai,30.08,11209,37.18,Medium,120.38,50.26,35.04,28.12,Low
Delhi,35.99,15380,17.37,Medium,74.06,86.56,42.87,34.98,Medium
Bangalore,34.6,8577,30.18,Medium,166.74,72.73,37.44,30.71,Medium
Delhi,32.1,13380,20.47,Low,197.53,45.66,38.03,29.55,Low
Bangalore,32.6,9076,27.93,Medium,61.73,69.1,37.45,29.88,Low
Pune,38.48,5157,16.91,High,150.52,55.93,44.94,35.48,High
Chennai,32.41,12777,16.29,Medium,114.42,59.16,34.59,29.02,Low
Pune,34.56,24101,19.86,Medium,57.66,62.01,40.12,31.74,Medium
Delhi,45.85,13437,10.09,Low,81.42,61.14,51.19,42.56,High
Chennai,27.88,16095,34.09,Low,84.76,73.21,34.93,25.54,Low
Bangalore,25.74,20279,17.2,Low,95.72,78.42,31.8,23.63,Low
Chennai,38.92,24179,19.01,Medium,250.84,56.46,46.2,35.45,High
Mumbai,31.61,12200,36.29,High,159.87,86.22,38.93,28.01,Low
Chennai,33.41,28912,22.38,Medium,86.77,86.92,37.86,32.0,Medium
Mumbai,31.09,23761,24.05,Low,75.07,42.03,33.92,28.47,Low
Chennai,33.7,19847,38.48,Low,124.49,40.75,39.48,30.65,Medium
Mumbai,42.99,14041,36.04,Medium,249.5,61.25,50.24,41.74,High
Delhi,39.01,6810,10.93,Medium,141.11,69.53,41.46,35.22,High
Pune,39.31,26574,21.56,Medium,89.97,53.9,44.66,36.75,High
Bangalore,27.92,26816,39.0,Medium,151.03,52.97,30.61,24.98,Low
Chennai,29.24,12895,18.03,Medium,188.83,73.92,31.41,27.71,Low
Pune,20.8,23510,18.01,Low,57.4,70.09,26.88,19.01,Low
Bangalore,30.95,11953,11.83,Low,206.91,48.36,37.04,29.59,Low
Bangalore,39.78,24414,9.0,Low,148.78,84.23,45.39,37.99,High
Mumbai,37.58,11323,30.91,Low,52.43,74.0,44.74,35.11,Medium
Delhi,33.89,27131,31.95,Low,218.47,58.13,36.38,30.39,Medium
Delhi,34.89,10605,38.92,Medium,228.1,74.18,37.52,32.29,Medium
Pune,31.56,10891,32.07,Medium,207.21,45.63,38.74,29.82,Low
Delhi,36.02,8076,13.52,Medium,135.48,63.41,41.04,34.89,Medium
Chennai,38.83,23728,6.4,Medium,182.4,48.45,42.47,35.96,High
Delhi,26.92,5619,39.49,High,146.79,42.07,33.35,24.66,Low
Pune,36.5,16094,16.92,Low,225.16,56.92,43.86,32.55,Medium
Delhi,39.66,7407,15.92,High,195.9,47.54,45.8,36.32,High
Chennai,32.92,27644,36.71,Medium,70.45,71.68,39.68,29.5,Low
Mumbai,38.5,17644,25.48,Medium,210.77,73.7,42.2,37.47,High
Pune,49.07,8004,12.52,Medium,221.81,47.43,52.81,45.74,High
Mumbai,34.48,25298,36.12,Low,142.68,41.23,41.66,32.89,Medium
Mumbai,36.97,15678,39.77,High,268.95,79.64,42.66,34.21,Medium
Mumbai,31.31,24980,8.03,Low,260.75,40.1,34.71,28.97,Low
Bangalore,35.91,9039,35.18,Medium,93.79,57.2,41.05,33.19,Medium
Bangalore,37.3,6304,18.67,Medium,276.07,64.73,43.42,35.9,Medium
Mumbai,35.97,10630,23.34,Low,160.22,80.93,39.29,33.6,Medium
Pune,29.9,12282,37.02,Low,230.94,81.93,35.83,28.79,Low
Chennai,36.03,8307,39.07,Low,253.52,76.25,38.28,34.91,Medium
Chennai,42.31,22745,14.18,Low,176.28,52.36,46.13,39.34,High
Delhi,37.24,11665,12.45,High,149.78,76.01,43.29,33.39,Medium
Pune,39.81,9294,7.82,Medium,278.86,52.33,42.71,36.48,High
Bangalore,33.81,6787,24.66,Low,107.71,50.73,37.15,31.41,Medium
Mumbai,38.75,6073,5.48,Medium,114.24,67.36,46.02,37.58,High
Delhi,36.4,27286,19.42,High,140.41,73.94,42.44,35.26,Medium
Chennai,30.25,8599,7.57,Low,264.87,42.65,35.24,28.77,Low
Bangalore,36.59,20389,19.18,Low,284.7,43.0,39.86,32.67,Medium
Bangalore,30.04,16345,6.4,High,105.02,79.21,34.09,27.85,Low
Mumbai,31.84,17318,34.23,Low,265.97,82.97,37.28,28.31,Low
Chennai,35.95,21107,12.34,Medium,114.55,70.22,38.88,32.83,Medium
Pune,36.49,8055,16.49,Low,292.66,61.44,41.38,33.67,Medium
Bangalore,29.05,27860,35.45,High,199.35,82.27,33.51,25.21,Low
Mumbai,40.27,22043,31.12,High,51.77,76.44,45.13,38.58,High
Pune,37.86,11320,12.67,High,58.53,68.98,40.49,35.5,Medium
Chennai,31.48,11513,7.52,Medium,86.87,55.99,34.12,27.88,Low
Bangalore,27.31,9642,30.05,Medium,96.89,49.9,35.1,24.66,Low
Pune,34.28,14321,18.67,Low,241.9,60.93,42.15,32.54,Medium
Pune,32.77,19432,31.81,High,105.69,54.34,37.33,31.14,Low
Pune,35.57,27757,20.59,High,292.29,56.96,42.3,32.31,Medium
Bangalore,33.18,9466,17.11,Medium,209.03,65.78,39.12,32.15,Medium
Bangalore,24.96,26971,20.79,Medium,223.13,48.45,27.66,21.22,Low
Delhi,33.06,16458,31.2,Low,104.45,80.31,36.84,32.0,Medium
Chennai,33.47,20879,36.58,Medium,273.18,47.28,37.35,30.58,Medium
Mumbai,38.17,23855,6.74,Medium,216.95,64.05,43.74,35.35,High
Pune,31.51,27559,23.34,Medium,266.1,77.3,36.99,28.77,Low
Delhi,43.39,13284,6.15,Medium,289.12,64.25,50.93,40.97,High
Mumbai,25.44,15758,21.39,Low,81.41,58.05,32.18,21.88,Low
Delhi,41.56,22665,35.98,High,74.15,63.74,48.7,38.58,High
Bangalore,33.88,15991,17.66,High,250.85,82.43,41.23,30.53,Medium
Pune,39.3,24561,37.64,High,266.53,89.52,46.11,37.95,High
Mumbai,35.4,27051,27.07,Medium,195.94,71.56,39.4,34.25,Medium
Mumbai,40.7,9511,37.7,Medium,141.5,79.67,43.99,39.61,High
Mumbai,33.06,15796,31.5,Low,213.16,40.72,38.49,31.62,Medium
Mumbai,29.51,8881,8.62,High,126.42,84.02,35.64,26.51,Low
Mumbai,42.1,20668,13.09,Medium,109.6,87.7,46.42,39.62,High
Delhi,34.43,7413,18.8,Medium,172.04,68.76,41.52,31.18,Medium
Pune,36.11,6544,10.95,Medium,104.04,77.69,43.87,34.53,Medium
Bangalore,41.17,20729,22.32,High,170.93,65.64,46.59,39.07,High
Bangalore,29.84,9784,21.5,Low,289.15,54.31,34.58,26.17,Low
Bangalore,37.98,27145,38.47,Low,259.95,82.61,45.03,34.17,Medium
Bangalore,32.05,29258,20.18,Medium,285.41,69.84,34.2,28.29,Low
Delhi,34.34,28345,32.5,High,251.58,68.97,37.11,30.88,Medium
Chennai,35.36,10626,37.97,Medium,138.69,72.96,42.44,32.3,Medium
Pune,27.5,9514,35.69,Medium,253.01,82.8,33.89,23.76,Low
Mumbai,31.11,6145,12.3,Medium,280.73,76.6,35.6,27.96,Low
Chennai,41.76,14102,22.36,Medium,286.76,50.56,49.09,37.89,High
Bangalore,39.43,16498,17.17,Medium,220.8,63.34,43.54,38.36,High
Chennai,34.69,10450,19.0,Medium,102.84,89.01,40.49,30.92,Medium
Pune,36.22,22950,17.63,Low,59.93,67.73,42.02,33.55,Medium
Mumbai,33.53,24389,33.92,High,86.8,86.91,36.63,32.19,Medium
Mumbai,41.78,9507,20.82,Medium,291.39,80.67,45.49,40.14,High
Pune,34.0,18535,23.33,Medium,165.52,73.3,41.49,30.44,Medium
Pune,36.16,9248,39.39,Low,263.75,57.47,39.26,33.64,Medium
Bangalore,40.73,18523,7.1,Medium,166.26,55.22,43.77,36.78,High
Mumbai,31.11,29667,22.08,High,215.2,72.17,35.99,29.76,Low
Chennai,42.79,8992,32.09,Low,56.04,61.63,45.35,40.56,High
Delhi,27.35,13522,10.29,Medium,112.47,79.94,34.72,25.35,Low
Delhi,43.15,13027,26.4,Medium,159.07,78.02,45.75,40.6,High
Pune,33.14,27144,13.38,Medium,207.66,55.61,38.84,30.24,Medium
Bangalore,33.79,16972,35.36,Low,92.88,75.14,37.83,30.8,Medium
Delhi,25.55,20305,16.45,Low,241.14,64.73,32.38,24.55,Low
Mumbai,32.73,15793,16.52,High,141.1,56.16,38.26,31.46,Low
Pune,29.8,29429,25.94,Medium,254.36,60.65,34.13,28.7,Low
Chennai,31.96,24361,11.42,Low,74.49,84.77,39.87,28.37,Low
Pune,34.31,26731,14.97,Low,219.94,57.98,36.71,32.37,Medium
Chennai,39.79,25673,19.58,High,123.33,54.37,45.26,37.69,High
Pune,36.04,5529,17.38,Low,248.85,57.59,43.98,33.69,Medium
Pune,36.54,24276,23.37,Medium,150.54,50.73,42.68,32.99,Medium
Pune,29.52,28827,25.99,Medium,216.34,67.23,35.96,28.48,Low
Chennai,30.6,9734,24.83,High,283.58,47.37,32.79,29.24,Low
Chennai,43.99,18898,27.9,Medium,55.16,80.87,46.12,40.94,High
Pune,31.32,23909,15.77,Medium,52.78,51.28,33.54,27.43,Low
Delhi,43.28,17985,9.42,Low,242.57,69.9,51.23,40.35,High
Bangalore,33.78,25145,31.63,High,211.6,46.25,41.66,32.0,Medium
Bangalore,35.01,27525,34.78,Medium,123.24,88.92,39.02,32.45,Medium
Bangalore,40.35,18989,14.0,High,173.6,62.73,44.1,36.43,High
Chennai,41.36,7742,19.25,Medium,60.48,81.11,44.24,38.78,High
Chennai,34.45,9635,22.45,Medium,98.11,78.43,38.42,32.33,Medium
Delhi,33.06,9425,23.67,Low,156.12,75.68,37.28,30.91,Medium
Bangalore,34.72,13661,28.08,Medium,258.51,81.37,41.21,30.82,Medium
Bangalore,36.69,8830,6.46,Medium,169.92,45.02,43.89,33.53,Medium
Pune,39.46,28376,30.25,Medium,196.59,73.92,45.94,36.39,High
Chennai,35.02,5533,7.17,Low,268.44,53.29,40.9,33.32,Medium
Bangalore,38.09,19250,21.39,Low,127.2,79.29,44.69,35.42,High
Delhi,43.19,25946,33.97,Low,225.17,87.84,49.62,41.12,High
Delhi,36.91,28504,20.79,Medium,265.42,85.07,41.76,35.19,Medium
Bangalore,36.56,17247,10.22,High,100.65,45.75,40.57,32.87,Medium
Chennai,27.41,27947,39.48,Medium,139.12,58.48,31.1,25.26,Low
Delhi,21.85,28673,36.12,Medium,294.95,58.22,27.92,20.0,Low
Pune,36.94,9087,32.0,Low,295.8,46.11,44.7,33.15,Medium
Delhi,34.53,13953,19.4,Medium,105.81,44.91,40.01,32.93,Medium
Mumbai,32.43,18293,11.43,Medium,66.61,59.24,39.9,29.19,Low
Mumbai,36.22,14082,37.95,High,117.73,89.6,38.3,33.26,Medium
Chennai,34.7,7355,23.63,High,149.43,68.45,41.46,30.94,Medium
Bangalore,40.64,6955,34.83,Medium,160.25,71.09,47.76,37.14,High
Chennai,35.43,7971,16.97,Medium,204.7,63.55,41.22,32.31,Medium
Chennai,31.27,10539,16.74,Low,274.88,73.12,38.87,29.32,Low
Chennai,39.95,12493,39.49,Medium,132.59,87.83,45.49,37.46,High
Chennai,33.91,23056,23.26,Low,262.5,69.43,37.36,30.08,Medium
Pune,37.63,7836,9.92,Medium,73.37,43.25,40.93,36.56,Medium
Pune,32.61,26311,12.69,Low,60.47,64.64,37.95,29.23,Low
Delhi,31.75,9939,21.87,Medium,176.01,89.64,39.19,30.0,Low
Mumbai,35.42,8644,6.49,Medium,64.92,59.37,37.86,33.87,Medium
Chennai,35.06,23681,21.19,Medium,148.12,69.69,40.69,33.37,Medium
Delhi,37.4,25445,19.66,Medium,274.19,45.33,44.02,36.22,Medium
Mumbai,33.66,8166,32.28,Low,110.37,47.06,36.35,29.68,Medium
Bangalore,25.82,14511,17.42,Medium,226.49,83.73,28.52,22.21,Low
Pune,32.84,5183,39.39,High,125.59,55.02,37.03,30.27,Low
Mumbai,38.97,14475,11.33,High,61.23,55.27,42.61,35.82,High
Bangalore,33.51,24230,25.68,Medium,189.17,59.36,36.7,30.84,Medium
Mumbai,33.77,16332,8.14,Medium,258.71,88.32,36.96,30.33,Medium
Pune,39.93,20173,30.69,Medium,152.37,44.22,42.72,36.4,High
Pune,31.44,14988,39.82,Low,204.32,80.94,37.11,29.74,Low
Delhi,27.29,9722,33.67,Low,275.01,57.08,33.41,24.91,Low
Chennai,34.2,20194,24.45,Low,247.42,82.47,40.41,31.29,Medium
Mumbai,32.58,22166,21.97,Medium,98.47,89.59,37.77,28.64,Low
Mumbai,30.17,22891,34.23,Medium,233.35,57.43,37.89,27.12,Low
Bangalore,34.12,19072,37.76,High,175.47,46.47,41.41,30.43,Medium
Pune,37.46,20976,39.62,Medium,236.49,47.22,45.2,33.92,Medium
Mumbai,34.95,10855,18.88,Medium,173.63,77.94,39.29,32.21,Medium
Pune,36.53,18294,39.68,Medium,81.99,47.25,43.8,32.85,Medium
Mumbai,44.07,28922,10.46,Low,192.48,53.02,50.64,41.93,High
Delhi,33.29,17046,13.87,Low,173.03,50.22,37.33,31.15,Medium
Chennai,36.39,5676,8.12,Medium,179.48,57.78,39.03,33.05,Medium
Mumbai,32.45,28634,14.51,Medium,269.73,43.72,38.55,31.05,Low
Pune,30.77,29197,31.88,High,273.71,82.84,33.59,28.85,Low
Delhi,32.08,9090,34.85,Medium,163.38,83.01,35.84,29.25,Low
Mumbai,32.61,17498,32.26,High,163.93,60.65,37.61,30.35,Low
Bangalore,36.8,27107,27.09,Medium,178.8,70.6,42.88,32.98,Medium
Chennai,46.75,17777,22.99,Medium,179.9,72.1,54.3,42.87,High
Mumbai,31.42,24070,29.8,Medium,287.6,77.46,36.98,28.91,Low
Delhi,32.92,13382,18.68,Low,212.35,66.03,38.95,30.3,Low
Bangalore,34.68,20006,34.45,Low,119.36,65.52,38.54,31.51,Medium
Delhi,36.98,14034,28.7,Low,182.88,71.57,43.1,34.61,Medium
Delhi,36.32,13526,29.42,Medium,206.81,75.15,40.94,34.75,Medium
Bangalore,41.42,29073,23.76,Medium,209.94,57.33,48.56,38.18,High
Delhi,22.87,18930,35.98,Low,196.31,56.52,27.22,19.65,Low
Bangalore,23.07,6110,13.82,Medium,94.43,53.49,27.87,21.33,Low
Mumbai,32.52,21962,18.34,Low,58.4,67.44,37.12,29.02,Low
Bangalore,40.49,21445,32.22,Medium,134.46,58.01,47.35,37.65,High
Bangalore,27.17,5386,22.25,Medium,156.88,67.02,34.89,25.46,Low
Chennai,19.96,23584,36.12,Medium,65.45,60.3,23.93,17.01,Low
Bangalore,37.86,17906,17.12,Medium,253.74,81.84,42.71,36.16,Medium
Bangalore,36.22,6683,17.93,Low,136.02,43.66,42.45,34.42,Medium
Mumbai,29.55,20033,36.11,High,278.41,68.61,36.92,26.0,Low
Chennai,30.07,20708,21.25,Low,88.6,68.78,35.03,26.28,Low
Pune,30.15,11321,23.06,Low,64.23,59.19,32.8,28.38,Low
Mumbai,35.55,29440,16.65,Low,170.58,61.05,39.76,31.77,Medium
Mumbai,31.87,13678,14.68,Medium,97.28,80.01,37.17,30.15,Low
Pune,37.47,16924,27.96,Medium,284.35,54.03,41.98,36.12,Medium
Bangalore,20.73,28798,9.19,Medium,52.58,83.57,23.85,19.55,Low
Delhi,30.72,18565,35.77,Medium,153.15,84.82,32.94,28.99,Low
Chennai,29.37,28027,32.27,Low,281.69,72.53,35.49,27.21,Low
Delhi,33.72,13732,11.68,High,146.1,78.64,41.67,29.94,Medium
Pune,32.31,10631,29.29,Medium,73.28,70.65,39.83,30.58,Low
Mumbai,38.99,29329,26.09,Medium,125.72,66.26,45.09,36.89,High
Mumbai,25.7,15252,11.46,Medium,174.5,88.33,32.75,22.5,Low
Chennai,35.23,29110,14.56,Low,96.29,54.13,38.76,33.32,Medium
Mumbai,37.79,17438,19.31,Low,166.64,47.71,43.53,34.74,Medium
Mumbai,44.28,10169,29.47,Medium,259.09,54.37,46.65,41.99,High
Chennai,32.59,11787,27.36,Low,268.15,70.73,38.83,31.0,Low
Chennai,36.62,25851,23.63,Low,62.32,49.26,44.44,33.42,Medium
Pune,25.98,10232,31.89,High,90.23,85.44,33.15,24.9,Low
Mumbai,23.04,29514,31.53,Medium,118.82,60.55,28.25,21.16,Low
Mumbai,39.22,27580,26.63,Medium,198.72,82.5,45.96,37.16,High
Pune,34.97,25291,32.54,Medium,140.25,52.46,42.64,32.6,Medium
Bangalore,40.89,9288,16.7,High,261.01,55.66,44.19,37.85,High
Bangalore,28.13,11734,35.84,Low,229.17,42.96,34.89,25.75,Low
Bangalore,37.6,22464,26.52,High,75.11,52.89,41.22,34.82,Medium
Pune,44.34,11240,33.78,Medium,206.14,64.52,51.61,41.56,High
Mumbai,37.1,21581,24.12,Low,78.25,87.31,39.69,34.98,Medium
Pune,36.38,12814,12.65,Low,113.76,59.45,39.45,32.58,Medium
Pune,35.04,15386,23.98,Medium,94.47,71.99,41.37,31.18,Medium
Bangalore,27.15,12851,17.99,Medium,93.27,61.39,30.19,24.4,Low
Delhi,41.78,6600,29.41,Low,204.1,42.34,44.73,40.56,High
Mumbai,31.95,28846,21.65,Medium,190.9,65.18,37.28,29.47,Low
Bangalore,37.52,11866,34.26,Medium,94.01,43.3,44.53,35.97,Medium
Delhi,27.18,8692,28.73,Medium,297.54,84.18,30.8,24.74,Low
Delhi,29.1,24467,28.96,High,155.46,77.65,36.15,27.54,Low
Chennai,42.18,25373,12.6,High,74.27,58.93,49.02,39.06,High
Mumbai,33.26,5332,39.45,Medium,80.14,72.01,38.74,32.02,Medium
Delhi,42.27,18709,34.46,High,195.97,45.6,48.15,38.41,High
Bangalore,34.61,19109,32.62,Low,294.77,75.13,36.85,33.02,Medium
Chennai,25.79,19847,16.56,Low,192.99,81.14,29.99,22.81,Low
Mumbai,39.46,19507,23.75,Medium,287.26,81.09,43.04,35.71,High
Pune,32.05,14963,9.8,Medium,161.03,54.21,34.95,30.31,Low
Bangalore,38.49,11106,23.85,Medium,158.96,53.19,42.83,34.69,High
Delhi,35.13,12333,10.11,Medium,175.0,66.07,39.26,32.96,Medium
Delhi,27.28,21058,24.36,Low,224.36,88.39,33.66,23.4,Low
Bangalore,35.82,11655,27.71,Low,141.9,86.03,41.41,31.91,Medium
Delhi,45.98,10308,18.66,High,265.97,57.98,53.46,44.42,High
Chennai,37.46,25584,22.45,High,57.32,78.99,40.34,33.97,Medium
Mumbai,34.71,24105,35.65,Medium,159.94,86.07,37.07,33.13,Medium
Chennai,40.38,6064,8.8,Medium,177.75,53.05,45.58,38.7,High
Delhi,36.05,14080,32.71,Medium,201.76,81.51,38.06,34.8,Medium
Pune,36.05,16115,10.98,Low,119.02,53.39,42.77,34.58,Medium
Mumbai,29.54,11820,6.28,Medium,156.87,57.16,34.58,26.65,Low
Mumbai,36.17,13512,11.5,Medium,171.13,49.94,41.1,33.82,Medium
Bangalore,40.18,8957,31.78,Medium,221.73,65.35,44.35,36.8,High
Bangalore,30.82,23766,19.18,Low,243.39,82.17,35.07,28.82,Low
Pune,42.12,24615,35.54,High,234.46,66.4,46.71,38.22,High
Mumbai,34.54,12008,23.36,High,135.4,46.17,36.64,33.39,Medium
Pune,30.56,21044,5.78,Low,299.86,52.59,33.06,29.37,Low
Bangalore,39.99,22884,30.08,Medium,262.17,68.14,45.02,36.88,High
Bangalore,33.57,19687,8.86,High,115.01,69.16,36.47,29.9,Medium
Mumbai,38.8,22952,32.63,Low,98.78,68.85,45.47,35.41,High
Chennai,33.54,27276,10.88,Medium,128.51,43.85,37.19,31.07,Medium
Delhi,34.7,24665,17.09,Medium,163.09,77.68,37.29,32.89,Medium
Bangalore,37.47,14711,31.64,Medium,262.7,85.47,40.88,36.43,Medium
Bangalore,36.45,25473,38.4,High,244.59,65.53,40.6,33.93,Medium
Chennai,25.02,23249,18.0,Medium,262.81,75.94,27.23,22.6,Low
Chennai,29.39,14597,34.03,Low,117.99,85.7,32.24,27.36,Low
Pune,39.65,26984,11.68,Low,198.37,72.13,43.59,36.91,High
Pune,34.34,20254,33.25,Low,120.81,73.72,38.2,31.15,Medium
Delhi,32.38,27439,28.01,Medium,77.26,76.07,39.18,29.28,Low
Delhi,28.21,21388,11.75,Medium,221.05,53.03,35.27,26.42,Low
Mumbai,29.6,19369,15.59,Low,85.75,69.13,32.76,26.85,Low
Pune,24.89,12959,9.61,Medium,216.92,82.11,27.63,23.44,Low
Bangalore,34.49,22552,18.4,Medium,211.99,54.81,40.3,33.13,Medium
Pune,32.01,23782,12.13,Low,252.56,84.86,38.84,28.65,Low
Bangalore,30.17,24014,27.54,Medium,84.89,71.02,37.95,27.09,Low
Chennai,34.66,11608,39.81,Medium,245.87,61.16,36.7,31.36,Medium
Pune,36.82,5347,5.42,Medium,299.82,71.16,41.3,35.36,Medium
Chennai,45.47,27245,23.93,Medium,262.76,60.09,51.87,41.72,High
Delhi,27.44,17412,25.08,Medium,237.95,81.9,34.41,26.04,Low
Delhi,40.8,15005,37.0,High,215.54,64.12,43.17,37.19,High
Mumbai,39.87,24726,22.71,Medium,155.45,85.06,45.95,37.81,High
Pune,31.1,11500,24.03,Medium,232.63,65.49,34.84,29.79,Low
Chennai,36.02,7574,21.51,Medium,231.04,73.02,38.46,34.16,Medium
Bangalore,32.71,25209,14.41,Low,207.87,89.89,37.65,31.17,Low
Delhi,35.93,25977,6.96,Medium,249.07,47.35,38.88,33.46,Medium
Delhi,42.55,10272,19.3,Medium,162.19,76.84,48.97,38.7,High
Bangalore,38.03,29628,6.84,Low,80.31,46.94,44.48,36.04,High
Chennai,37.54,21532,24.27,Medium,189.77,81.94,44.6,34.71,Medium
Chennai,32.85,13694,15.76,Low,116.26,69.82,37.11,29.17,Low
Pune,27.58,22253,23.68,Medium,146.11,86.91,29.66,24.69,Low
Pune,33.96,8521,9.7,Low,54.35,83.3,37.52,31.87,Medium
Mumbai,41.03,25255,37.64,Low,145.7,43.74,45.84,37.06,High
Delhi,27.36,6300,36.31,High,252.2,46.87,33.53,25.8,Low
Pune,29.72,28979,11.65,High,185.68,70.06,34.02,27.15,Low
Chennai,35.63,17225,17.02,Low,52.45,65.92,40.85,32.24,Medium
Bangalore,30.08,16481,26.47,Medium,167.46,48.43,35.22,29.07,Low
Chennai,31.04,26217,8.35,Low,122.86,46.47,34.03,27.93,Low
Delhi,32.88,17045,17.41,Medium,169.39,68.2,38.62,31.08,Low
Chennai,28.17,28054,13.79,Medium,151.17,42.45,32.81,26.66,Low
Mumbai,30.13,23835,37.04,Low,282.99,83.69,36.98,28.31,Low
Delhi,38.52,9385,34.84,Medium,60.29,80.35,44.66,34.62,High
Bangalore,28.46,19755,25.29,Low,220.9,79.27,31.13,24.79,Low
Mumbai,27.01,29914,23.21,Low,262.76,40.8,31.94,25.37,Low
Delhi,31.85,7824,37.58,Medium,289.81,42.38,38.06,30.5,Low
Bangalore,38.66,28238,37.63,Medium,94.41,67.49,41.18,36.57,High
Mumbai,34.02,10964,38.93,Medium,182.83,89.72,40.77,31.24,Medium
Mumbai,32.68,22370,9.39,Medium,60.9,57.12,36.01,29.08,Low
Delhi,35.22,29555,10.62,Medium,174.8,57.22,40.24,31.32,Medium
Pune,26.27,24874,28.69,Medium,81.36,46.71,33.91,23.02,Low
Mumbai,37.47,29460,23.95,Medium,259.47,73.72,42.9,34.68,Medium
Mumbai,36.92,8767,5.65,Medium,78.47,72.33,41.46,35.49,Medium
