State,Year,Population (millions),Annual Rainfall (mm),Agricultural Land (sq km),Industrial Water Usage (billion liters),Domestic Water Usage (billion liters),Groundwater Level (meters below surface),Reservoir Capacity (%),Total Water Consumption (billion liters),Water Shortage Risk
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Sikkim,2004,169.0,2468.5,112828.9,469.73,286.86,26.9,72.7,756.59,No
Kerala,2023,180.15,3411.4,81942.0,13.4,289.39,13.6,16.5,302.79,No
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Sikkim,2003,114.01,1094.1,73390.1,323.19,283.79,12.5,61.7,606.98,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Himachal Pradesh,2010,142.58,1333.8,48449.1,187.65,58.42,39.5,51.1,246.07,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Manipur,2022,243.15,3861.9,93626.2,241.54,247.24,1.0,9.6,488.78,No
West Bengal,2001,183.5,1791.0,123714.5,155.75,237.34,23.6,5.1,393.09,No
Manipur,2001,176.34,1002.8,79501.5,100.46,133.77,47.5,79.1,234.23,No
Assam,2020,228.47,924.3,168052.9,403.37,160.24,38.7,47.5,563.61,No
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Manipur,2006,58.98,1300.3,29016.7,388.32,195.21,16.1,47.3,583.53,No
Uttarakhand,2005,170.45,891.8,27513.7,181.19,220.89,15.3,90.0,402.08,No
Nagaland,2022,174.02,3352.6,148609.9,465.42,111.77,12.0,46.6,577.19,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
West Bengal,2018,209.19,2975.3,107498.3,385.79,60.62,34.8,50.9,446.41,No
West Bengal,2004,86.59,2101.9,46309.8,344.53,232.7,48.0,60.2,577.23,No
Telangana,2018,78.56,3972.1,64922.2,422.18,23.17,44.8,39.8,445.35,No
Bihar,2017,196.32,793.3,6521.5,422.15,1.07,44.1,11.9,423.22,Yes
Gujarat,2018,31.09,840.5,189975.0,51.06,209.37,23.2,29.9,260.43,No
Rajasthan,2010,49.09,2487.2,74707.8,91.13,138.06,38.9,8.9,229.19,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Tamil Nadu,2006,37.9,3179.9,171763.5,445.14,97.25,23.0,63.8,542.39,No
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Kerala,2014,51.05,2753.6,109121.1,100.59,36.04,21.6,51.9,136.63,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Madhya Pradesh,2011,118.48,2995.9,12359.3,181.51,5.66,9.7,63.1,187.17,No
Karnataka,2019,47.58,1581.6,6941.7,144.93,263.27,31.3,79.3,408.2,No
Haryana,2014,132.19,1580.1,34443.3,157.75,291.14,37.7,75.5,448.89,No
Nagaland,2001,38.17,921.3,21189.5,422.65,59.07,42.2,7.7,481.72,Yes
Goa,2006,244.18,3187.1,157629.5,498.82,297.42,37.7,59.8,796.24,No
Kerala,2011,39.82,753.8,186801.1,81.51,219.69,12.2,67.1,301.2,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Uttarakhand,2009,153.05,2720.2,92899.4,345.83,162.6,4.2,12.2,508.43,No
Jharkhand,2005,174.0,3517.2,7105.7,110.82,233.54,21.8,17.8,344.36,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Uttar Pradesh,2025,22.21,932.5,84467.1,461.13,182.8,44.6,85.9,643.93,No
Chhattisgarh,2007,235.47,3599.4,77873.1,200.45,295.96,45.7,47.4,496.41,No
Uttar Pradesh,2006,131.67,1299.2,145602.1,44.31,171.42,33.9,65.0,215.73,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Kerala,2008,210.93,1262.1,48593.3,150.34,292.21,47.8,7.6,442.55,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Maharashtra,2004,221.71,2830.7,68580.1,224.01,3.71,12.8,99.6,227.72,No
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Uttarakhand,2005,133.11,3264.2,34367.8,405.91,171.79,16.7,73.7,577.7,No
Meghalaya,2006,201.45,3228.8,78362.9,200.78,288.48,1.5,72.2,489.26,No
Arunachal Pradesh,2024,3.19,918.7,65898.8,362.32,153.54,26.0,48.3,515.86,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Chhattisgarh,2020,12.57,1139.0,65359.2,289.52,4.87,40.2,94.1,294.39,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Haryana,2009,186.67,3120.8,64878.1,231.71,183.04,20.1,87.1,414.75,No
Goa,2008,64.65,3981.2,106713.5,422.65,292.86,32.5,16.8,715.51,No
Gujarat,2016,29.55,2870.2,47529.0,267.17,28.01,11.5,10.6,295.18,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Odisha,2021,65.43,1727.1,52342.4,398.74,242.11,37.5,55.5,640.85,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Sikkim,2022,217.09,3043.6,185384.3,97.61,64.49,36.8,33.8,162.1,No
Goa,2005,174.23,3168.2,32041.2,359.94,28.33,9.0,82.9,388.27,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Tripura,2000,61.92,524.3,111048.0,313.26,24.34,29.1,76.2,337.6,No
Tripura,2005,246.24,2583.0,106612.8,486.06,4.86,48.5,60.4,490.92,No
Assam,2005,223.56,3505.5,116681.3,157.1,43.71,32.9,93.1,200.81,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Manipur,2005,75.27,3615.8,71858.7,43.83,163.06,21.6,30.0,206.89,No
Sikkim,2018,91.1,3837.4,85645.7,164.96,84.73,34.2,70.8,249.69,No
Tamil Nadu,2023,192.58,3005.0,188458.1,164.81,24.45,25.4,38.8,189.26,No
Maharashtra,2022,20.08,1962.7,11019.6,72.2,54.55,14.4,20.3,126.75,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Madhya Pradesh,2017,171.14,1479.9,64224.7,437.57,162.45,46.1,82.1,600.02,No
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Arunachal Pradesh,2011,65.68,541.9,95791.0,183.67,57.57,36.3,95.9,241.24,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Arunachal Pradesh,2012,184.57,3620.4,72229.2,401.54,186.71,26.5,9.1,588.25,No
Assam,2010,14.23,2775.4,184532.3,3.95,75.71,22.6,94.5,79.66,No
Mizoram,2013,95.41,2845.2,3418.4,34.89,18.43,21.5,47.3,53.32,No
Haryana,2001,193.21,2224.4,83686.6,382.8,205.53,37.7,93.2,588.33,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Goa,2004,193.42,2621.5,168015.1,8.8,140.32,28.7,62.3,149.12,No
Punjab,2004,17.79,3010.6,132457.5,415.35,5.84,30.5,96.7,421.19,No
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Madhya Pradesh,2015,27.31,2341.9,85440.8,458.54,217.75,25.0,64.3,676.29,No
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Nagaland,2009,202.15,980.7,125530.7,214.33,137.23,4.8,92.3,351.56,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Tripura,2021,106.25,1755.7,4065.8,320.17,289.85,27.1,44.3,610.02,No
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Rajasthan,2017,136.38,3181.0,24376.8,211.03,103.98,4.4,83.2,315.01,No
Jharkhand,2006,48.18,1186.7,160371.8,317.24,5.59,40.5,85.1,322.83,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Nagaland,2012,49.54,1269.5,184305.0,458.1,141.66,48.8,24.2,599.76,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Bihar,2023,28.97,3798.5,43301.9,452.72,77.14,12.2,36.7,529.86,No
Bihar,2005,188.85,2920.3,118788.3,223.25,38.3,8.4,98.7,261.55,No
Goa,2005,249.98,787.2,61577.6,230.85,99.78,27.4,60.3,330.63,No
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Rajasthan,2006,139.42,2868.3,111063.4,231.18,261.99,47.5,17.6,493.17,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Chhattisgarh,2014,93.34,2956.9,181743.3,380.31,263.13,20.2,82.2,643.44,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Nagaland,2020,77.18,2555.7,141786.5,418.36,115.75,18.0,43.9,534.11,No
Assam,2004,25.12,1105.1,111214.3,213.21,55.63,4.3,88.4,268.84,No
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Goa,2015,237.86,2393.0,19407.0,96.37,279.84,8.5,94.4,376.21,No
Madhya Pradesh,2000,202.2,1133.8,119838.6,56.88,281.86,15.3,23.7,338.74,No
Kerala,2009,26.66,1610.4,43435.7,10.84,165.0,20.1,65.0,175.84,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Uttar Pradesh,2025,100.92,3884.2,118264.0,62.24,58.32,28.9,11.4,120.56,No
Sikkim,2001,123.49,3106.4,37775.2,22.04,128.84,46.2,13.4,150.88,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Kerala,2020,71.5,3894.7,56027.3,225.88,282.93,42.9,93.9,508.81,No
Haryana,2010,33.09,3975.7,68659.3,387.11,206.1,34.6,94.9,593.21,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Jharkhand,2023,160.03,3542.4,194363.1,351.66,239.25,21.0,32.4,590.91,No
Telangana,2022,41.05,3184.8,191539.7,413.53,56.47,3.0,11.9,470.0,No
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Assam,2003,124.04,3759.9,4701.0,23.48,217.89,16.9,56.1,241.37,No
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Jharkhand,2007,81.29,575.2,184920.3,311.32,21.09,15.5,82.0,332.41,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Uttar Pradesh,2007,196.46,2312.6,67420.5,6.93,250.14,33.8,35.8,257.07,No
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Gujarat,2023,4.2,3272.9,59088.8,473.55,199.32,48.2,52.8,672.87,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Tripura,2000,234.15,2977.4,169642.4,30.89,251.76,43.4,81.5,282.65,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Goa,2001,61.94,2229.6,97528.0,345.7,81.75,5.0,39.6,427.45,No
Haryana,2017,97.97,1335.4,4930.2,324.26,227.28,8.8,91.4,551.54,No
Chhattisgarh,2016,245.39,1236.5,110398.3,160.05,180.39,25.6,74.8,340.44,No
Mizoram,2002,121.7,3348.3,145319.6,278.79,187.44,28.8,81.2,466.23,No
Arunachal Pradesh,2017,234.88,985.3,134319.2,196.93,25.99,18.4,90.1,222.92,No
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Gujarat,2013,180.67,3800.8,165014.9,376.0,117.85,44.7,42.7,493.85,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Telangana,2015,64.59,3187.3,84244.0,232.68,99.76,38.1,81.3,332.44,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Goa,2024,72.49,3800.2,75404.8,495.34,296.41,28.7,81.1,791.75,No
Arunachal Pradesh,2017,127.96,1279.8,42479.5,258.23,145.68,28.1,27.3,403.91,No
Uttar Pradesh,2012,158.36,1538.5,69406.9,168.72,196.78,14.5,17.6,365.5,No
Telangana,2015,184.22,3270.6,99857.2,283.0,65.61,3.5,85.1,348.61,No
Telangana,2004,63.66,1170.5,43648.1,172.96,55.74,48.4,90.5,228.7,No
Jharkhand,2021,32.88,2689.7,93159.3,385.01,6.87,31.8,47.8,391.88,No
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Nagaland,2001,38.17,921.3,21189.5,422.65,59.07,42.2,7.7,481.72,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Jharkhand,2009,3.69,1255.0,74948.2,63.33,158.77,35.8,68.3,222.1,No
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Sikkim,2025,154.45,1233.1,119891.2,41.91,69.8,12.9,36.3,111.71,No
Telangana,2016,138.32,1634.8,197603.5,3.17,127.9,10.0,38.2,131.07,No
Maharashtra,2016,221.57,2440.1,88375.3,139.3,39.37,33.8,40.7,178.67,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Andhra Pradesh,2005,187.85,3310.7,54888.3,65.36,203.3,10.1,95.0,268.66,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Bihar,2010,139.84,709.9,66285.5,268.02,28.63,14.0,20.7,296.65,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Karnataka,2019,47.58,1581.6,6941.7,144.93,263.27,31.3,79.3,408.2,No
Tripura,2024,3.46,776.3,23645.3,110.58,63.04,31.2,66.9,173.62,No
Himachal Pradesh,2017,87.12,1595.7,141277.7,392.1,74.07,12.2,89.3,466.17,No
Tripura,2024,134.5,3393.1,190854.4,418.45,40.43,30.9,72.1,458.88,No
Gujarat,2001,34.91,2244.8,4845.0,376.48,129.84,21.3,15.6,506.32,No
Himachal Pradesh,2001,50.86,3232.3,148136.1,164.27,169.63,1.9,14.4,333.9,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Uttar Pradesh,2016,58.58,3603.4,156797.0,69.3,108.92,9.0,15.1,178.22,No
Bihar,2022,58.08,1147.8,32244.5,445.53,197.86,9.7,94.9,643.39,No
Uttarakhand,2000,8.25,1396.5,51762.4,203.99,150.38,27.9,40.6,354.37,No
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Jharkhand,2013,92.53,3520.4,94725.6,439.83,71.31,12.2,9.7,511.14,No
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Madhya Pradesh,2019,152.61,3993.1,178694.7,239.39,295.75,14.6,14.4,535.14,No
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Meghalaya,2000,202.01,980.3,19265.9,426.98,263.82,6.1,68.7,690.8,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Chhattisgarh,2012,50.39,1526.9,165940.5,310.31,190.75,44.8,26.7,501.06,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
West Bengal,2022,93.75,692.1,63723.3,325.64,107.67,15.7,52.3,433.31,No
Assam,2009,112.36,2391.2,9125.0,476.03,176.3,17.0,91.3,652.33,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Tamil Nadu,2007,229.56,3720.0,138784.9,218.48,225.45,29.8,72.9,443.93,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Himachal Pradesh,2000,228.12,3796.8,100214.2,78.59,173.86,33.4,98.7,252.45,No
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Rajasthan,2015,144.22,1101.1,34493.4,115.77,184.91,25.4,94.4,300.68,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Jharkhand,2017,169.04,1520.5,94640.9,133.86,1.46,16.8,78.8,135.32,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Maharashtra,2025,48.36,2837.4,176580.1,296.15,137.16,22.0,10.1,433.31,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Jharkhand,2016,215.36,1724.2,10714.5,323.43,37.81,18.2,38.5,361.24,No
Mizoram,2004,118.52,3949.5,113022.8,363.37,279.2,43.7,74.1,642.57,No
Meghalaya,2021,123.93,1508.2,167597.0,3.57,118.27,43.7,99.4,121.84,No
Tamil Nadu,2005,42.09,1002.9,193929.8,266.7,28.57,48.8,85.0,295.27,No
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Gujarat,2023,45.17,1902.0,65793.0,273.91,89.33,44.5,97.0,363.24,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Gujarat,2006,75.3,1666.1,131507.4,472.27,234.48,35.8,92.4,706.75,No
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Manipur,2010,82.11,2539.1,163674.2,383.71,263.18,24.9,63.5,646.89,No
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Telangana,2022,90.37,1194.0,8447.8,38.91,77.17,11.5,76.5,116.08,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Tamil Nadu,2023,86.9,3372.5,168274.4,295.12,226.27,14.4,30.4,521.39,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Uttar Pradesh,2023,30.36,3316.2,121708.8,160.78,81.87,20.9,85.3,242.65,No
Uttarakhand,2009,236.95,729.4,21159.1,178.85,91.55,27.6,56.3,270.4,No
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Tamil Nadu,2000,73.8,1743.4,26817.4,258.04,37.94,14.9,62.2,295.98,No
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Madhya Pradesh,2024,168.49,3121.7,41243.5,339.0,94.66,45.2,98.1,433.66,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Gujarat,2010,39.63,3244.3,69211.7,453.55,161.91,36.1,19.8,615.46,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Himachal Pradesh,2006,188.18,3006.0,17245.4,261.61,189.98,25.9,17.2,451.59,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
West Bengal,2000,123.77,1094.3,39238.0,352.66,196.87,40.5,79.5,549.53,No
Arunachal Pradesh,2004,206.37,3658.9,88106.5,481.56,266.74,35.8,61.2,748.3,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Kerala,2019,64.02,1706.0,105623.5,186.58,170.65,10.9,31.8,357.23,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Sikkim,2019,180.4,2380.1,127766.8,47.75,200.58,12.5,60.6,248.33,No
Kerala,2006,27.83,3532.8,37775.0,499.7,106.6,44.9,25.4,606.3,No
Odisha,2013,17.12,2381.9,152632.8,391.2,115.75,23.5,71.6,506.95,No
Telangana,2023,248.04,2328.1,101052.3,429.23,257.14,21.0,41.4,686.37,No
Rajasthan,2019,54.21,724.1,76930.5,273.96,138.86,22.9,57.0,412.82,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Meghalaya,2023,34.98,1202.4,22472.7,163.18,66.39,12.1,85.7,229.57,No
Karnataka,2013,182.56,1752.7,76134.4,177.85,51.14,11.7,66.7,228.99,No
Jharkhand,2017,169.04,1520.5,94640.9,133.86,1.46,16.8,78.8,135.32,No
Tamil Nadu,2001,58.89,3211.6,111641.4,225.44,181.2,15.4,33.8,406.64,No
Punjab,2005,139.5,1028.3,146004.3,124.41,207.38,25.2,81.3,331.79,No
Manipur,2023,218.11,3269.3,67517.0,190.1,231.19,18.2,35.5,421.29,No
Telangana,2016,75.95,2295.6,57272.0,133.51,221.97,11.7,28.6,355.48,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Punjab,2000,52.78,3108.8,110783.4,256.61,226.75,12.9,61.4,483.36,No
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Tripura,2015,63.11,878.8,115453.6,332.78,179.03,32.8,62.3,511.81,No
Haryana,2014,130.0,3610.1,67129.9,447.24,44.14,45.2,33.3,491.38,No
Meghalaya,2019,82.75,1316.9,189763.6,368.61,275.18,33.3,85.0,643.79,No
Mizoram,2006,142.84,2339.3,3081.5,265.3,271.74,45.1,78.0,537.04,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Madhya Pradesh,2010,81.58,3624.7,87584.3,61.76,53.5,42.5,89.1,115.26,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
West Bengal,2007,15.0,942.2,135487.4,479.78,254.44,27.9,30.4,734.22,No
